DESCRICAO,COMARCA,DIAP
ABRANTES,Santarém,Abrantes
ÁGUEDA,Aveiro,Águeda
AGUIAR DA BEIRA,Guarda,Trancoso
ALANDROAL,Évora,Redondo
ALBERGARIA-A-VELHA,Aveiro,Albergaria-a-Velha
ALBUFEIRA,Faro,Albufeira
ALCÁCER DO SAL,Setúbal,Grândola
ALCANENA,Santarém,Torres Novas
ALCOBAÇA,Leiria,Alcobaça
ALCOCHETE,Lisboa,Barreiro
ALCOUTIM,Faro,Vila Real de Santo António
ALENQUER,Lisboa Norte,Alenquer
ALFÂNDEGA DA FÉ,Bragança,Macedo de Cavaleiros
ALIJÓ,Vila Real,Alijó
ALJEZUR,Faro,Lagos
ALJUSTREL,Beja,Ourique
ALMADA,Lisboa,Almada
ALMEIDA,Guarda,Almeida
ALMEIRIM,Santarém,Santarém
ALMODÔVAR,Beja,Almodôvar
ALPIARÇA,Santarém,Santarém
ALTER DO CHÃO,Portalegre,Fronteira
ALVAIÁZERE,Leiria,Figueiró dos Vinhos
ALVITO,Beja,Cuba
AMADORA,Lisboa Oeste,Amadora
AMARANTE,Porto Este,Amarante
AMARES,Braga,Amares
ANADIA,Aveiro,Anadia
ANGRA DO HEROÍSMO,Açores,Angra do Heroísmo
ANSIÃO,Leiria,Pombal
ARCOS DE VALDEVEZ,Viana do Castelo,Arcos de Valdevez
ARGANIL,Coimbra,Arganil
ARMAMAR,Viseu,Viseu
AROUCA,Aveiro,Arouca
ARRAIOLOS,Évora,Évora
ARRONCHES,Portalegre,Portalegre
ARRUDA DOS VINHOS,Lisboa Norte,Vila Franca de Xira
AVEIRO,Aveiro,Aveiro
AVIS,Portalegre,Fronteira
AZAMBUJA,Lisboa Norte,Alenquer
BAIÃO,Porto Este,Baião
BARCELOS,Braga,Barcelos
BARRANCOS,Beja,Moura
BARREIRO,Lisboa,Barreiro
BATALHA,Leiria,Leiria
BEJA,Beja,Beja
BELMONTE,Castelo Branco,Covilhã
BENAVENTE,Santarém,Benavente
BOMBARRAL,Leiria,Caldas da Rainha
BORBA,Évora,Vila Viçosa
BOTICAS,Vila Real,Chaves
BRAGA,Braga,Braga
BRAGANÇA,Bragança,Bragança
CABECEIRAS DE BASTO,Braga,Cabeceiras de Basto
CADAVAL,Lisboa Norte,Torres Vedras
CALDAS DA RAINHA,Leiria,Caldas da Rainha
CALHETA,Madeira,Ponta do Sol
CALHETA (SÃO JORGE),Açores,Velas
CÂMARA DE LOBOS,Madeira,Funchal
CAMINHA,Viana do Castelo,Caminha
CAMPO MAIOR,Portalegre,Elvas
CANTANHEDE,Coimbra,Cantanhede
CARRAZEDA DE ANSIÃES,Bragança,Vila Flor
CARREGAL DO SAL,Viseu,Viseu
CARTAXO,Santarém,Cartaxo
CASCAIS,Lisboa Oeste,Cascais
CASTANHEIRA DE PERA,Leiria,Figueiró dos Vinhos
CASTELO BRANCO,Castelo Branco,Castelo Branco
CASTELO DE PAIVA,Aveiro,Castelo de Paiva
CASTELO DE VIDE,Portalegre,Portalegre
