locality,pc_locality,flag,city,diap,comarca,tribunal
Belmonte,6250,,Belmonte,Covilhã,CASTELO BRANCO,COIMBRA
Caria,6250,,Belmonte,Covilhã,CASTELO BRANCO,COIMBRA
Colmeal da Torre,6250,,Belmonte,Covilhã,CASTELO BRANCO,COIMBRA
Inguias,6250,,Belmonte,Covilhã,CASTELO BRANCO,COIMBRA
Maçaínhas,6250,,Belmonte,Covilhã,CASTELO BRANCO,COIMBRA
Castelo Branco,6000,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Alcains,6005,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Almaceda,6000,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Benquerenças,6000,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Cafede,6000,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Cebolais de Cima,6000,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Escalos de Baixo,6005,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Escalos de Cima,6005,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Freixial do Campo,6000,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Juncal do Campo,6000,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Lardosa,6005,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Louriçal do Campo,6005,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Lousa,6005,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Malpica do Tejo,6000,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Mata,6005,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Monforte da Beira,6000,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Ninho do Açor,6000,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Póvoa de Rio de Moinhos,6000,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Retaxo,6000,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Salgueiro do Campo,6000,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Santo André das Tojeiras,6000,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
São Vicente da Beira,6005,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Sarzedas,6000,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Sobral do Campo,6000,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Tinalhas,6000,,Castelo Branco,Castelo Branco,CASTELO BRANCO,COIMBRA
Covilhã,6200,,Covilhã,Covilhã,CASTELO BRANCO,COIMBRA
Aldeia do Souto,6200,,Covilhã,Covilhã,CASTELO BRANCO,COIMBRA
Aldeia São Francisco Assis,6225,,Covilhã,Covilhã,CASTELO BRANCO,COIMBRA
Barco,6215,,Covilhã,Covilhã,CASTELO BRANCO,COIMBRA
Boidobra,6200,,Covilhã,Covilhã,CASTELO BRANCO,COIMBRA
Canhoso,6200,,Covilhã,Covilhã,CASTELO BRANCO,COIMBRA
Cantar-Galo,6200,,Covilhã,Covilhã,CASTELO BRANCO,COIMBRA
Casegas,6225,,Covilhã,Covilhã,CASTELO BRANCO,COIMBRA
Conceição,6200,,Covilhã,Covilhã,CASTELO BRANCO,COIMBRA
Cortes do Meio,6215,,Covilhã,Covilhã,CASTELO BRANCO,COIMBRA
Coutada,6215,,Covilhã,Covilhã,CASTELO BRANCO,COIMBRA
Dominguizo,6200,,Covilhã,Covilhã,CASTELO BRANCO,COIMBRA
Erada,6215,,Covilhã,Covilhã,CASTELO BRANCO,COIMBRA
Ferro,6200,,Covilhã,Covilhã,CASTELO BRANCO,COIMBRA
Orjais,6200,,Covilhã,Covilhã,CASTELO BRANCO,COIMBRA
Ourondo,6230,,Covilhã,Covilhã,CASTELO BRANCO,COIMBRA
Paul,6215,,Covilhã,Covilhã,CASTELO BRANCO,COIMBRA
Peraboa,6200,,Covilhã,Covilhã,CASTELO BRANCO,COIMBRA
