CouLo_Name,CouPC_PostCode
A dos Cunhados,2560-001
A dos Cunhados,2560-002
A dos Cunhados,2560-003
A dos Cunhados,2560-004
A dos Cunhados,2560-005
A dos Cunhados,2560-006
A dos Cunhados,2560-007
A dos Cunhados,2560-008
A dos Cunhados,2560-009
A dos Cunhados,2560-010
A dos Cunhados,2560-011
A dos Cunhados,2560-012
A dos Cunhados,2560-013
A dos Cunhados,2560-014
A dos Cunhados,2560-015
A dos Cunhados,2560-016
A dos Cunhados,2560-017
A dos Cunhados,2560-018
A dos Cunhados,2560-019
A dos Cunhados,2560-020
A dos Cunhados,2560-021
A dos Cunhados,2560-022
A dos Cunhados,2560-023
A dos Cunhados,2560-024
A dos Cunhados,2560-025
A dos Cunhados,2560-026
A dos Cunhados,2560-027
A dos Cunhados,2560-028
A dos Cunhados,2560-029
A dos Cunhados,2560-030
A dos Cunhados,2560-031
A dos Cunhados,2560-032
A dos Cunhados,2560-033
A dos Cunhados,2560-034
A dos Cunhados,2560-035
A dos Cunhados,2560-036
A dos Cunhados,2560-037
A dos Cunhados,2560-038
A dos Cunhados,2560-039
A dos Cunhados,2560-040
A dos Cunhados,2560-041
A dos Cunhados,2560-042
A dos Cunhados,2560-043
A dos Cunhados,2560-044
A dos Cunhados,2560-045
A dos Cunhados,2560-046
A dos Cunhados,2560-047
A dos Cunhados,2560-048
A dos Cunhados,2560-049
A dos Cunhados,2560-050
A dos Cunhados,2560-051
A dos Cunhados,2560-052
A dos Cunhados,2560-053
A dos Cunhados,2560-054
A dos Cunhados,2560-055
A dos Cunhados,2560-056
A dos Cunhados,2560-057
A dos Cunhados,2560-058
A dos Cunhados,2560-059
A dos Francos,2500-001
A dos Francos,2500-002
A dos Francos,2500-003
A dos Francos,2500-005
A dos Francos,2500-006
A dos Francos,2500-007
A dos Francos,2500-008
A dos Francos,2500-009
A dos Francos,2500-010
A dos Francos,2500-011
A dos Francos,2500-012
A dos Francos,2500-013
A dos Francos,2500-014
A dos Francos,2500-015
A dos Francos,2500-016
A dos Francos,2500-017
A dos Francos,2500-018
A dos Francos,2500-019
A dos Francos,2500-020
A dos Francos,2500-021
A dos Francos,2500-022
A dos Francos,2500-023
A dos Francos,2500-024
A dos Francos,2500-025
A dos Francos,2500-026
A dos Francos,2500-027
A dos Francos,2500-028
A dos Francos,2500-029
A dos Francos,2500-030
A dos Francos,2500-031
A dos Francos,2500-032
A dos Francos,2500-033
A dos Francos,2500-034
A dos Francos,2500-035
A dos Francos,2500-036
A dos Francos,2500-037
A dos Francos,2500-038
A dos Francos,2500-039
A dos Francos,2500-040
A dos Francos,2500-041
A dos Francos,2500-042
A dos Francos,2500-043
A dos Francos,2500-044
A dos Francos,2500-045
A dos Francos,2500-046
A dos Francos,2500-047
A dos Francos,2500-048
A dos Francos,2500-049
A dos Francos,2500-050
A dos Francos,2500-051
A dos Francos,2500-052
A dos Francos,2500-053
A dos Negros,2510-321
A dos Negros,2510-322
A dos Negros,2510-323
A dos Negros,2510-324
A dos Negros,2510-325
A dos Negros,2510-326
A dos Negros,2510-327
A dos Negros,2510-328
A dos Negros,2510-329
A dos Negros,2510-330
A dos Negros,2510-331
A dos Negros,2510-332
A dos Negros,2510-333
A dos Negros,2510-334
A dos Negros,2510-335
A dos Negros,2510-336
A dos Negros,2510-337
A dos Negros,2510-338
A dos Negros,2510-339
A dos Negros,2510-340
A dos Negros,2510-341
A dos Negros,2510-342
A dos Negros,2510-343
A Ver-o-Mar,4490-011
A Ver-o-Mar,4490-012
A Ver-o-Mar,4490-013
A Ver-o-Mar,4490-014
A Ver-o-Mar,4490-015
A Ver-o-Mar,4490-016
A Ver-o-Mar,4490-017
A Ver-o-Mar,4490-018
A Ver-o-Mar,4490-019
A Ver-o-Mar,4490-020
A Ver-o-Mar,4490-021
A Ver-o-Mar,4490-022
A Ver-o-Mar,4490-023
A Ver-o-Mar,4490-024
A Ver-o-Mar,4490-025
A Ver-o-Mar,4490-026
A Ver-o-Mar,4490-027
A Ver-o-Mar,4490-028
A Ver-o-Mar,4490-029
A Ver-o-Mar,4490-030
A Ver-o-Mar,4490-031
A Ver-o-Mar,4490-032
A Ver-o-Mar,4490-033
A Ver-o-Mar,4490-034
A Ver-o-Mar,4490-035
A Ver-o-Mar,4490-036
A Ver-o-Mar,4490-037
A Ver-o-Mar,4490-038
A Ver-o-Mar,4490-039
A Ver-o-Mar,4490-040
A Ver-o-Mar,4490-041
A Ver-o-Mar,4490-042
A Ver-o-Mar,4490-043
A Ver-o-Mar,4490-044
A Ver-o-Mar,4490-045
A Ver-o-Mar,4490-046
A Ver-o-Mar,4490-047
A Ver-o-Mar,4490-048
A Ver-o-Mar,4490-049
A Ver-o-Mar,4490-050
A Ver-o-Mar,4490-051
A Ver-o-Mar,4490-052
A Ver-o-Mar,4490-053
A Ver-o-Mar,4490-054
A Ver-o-Mar,4490-055
A Ver-o-Mar,4490-056
A Ver-o-Mar,4490-057
A Ver-o-Mar,4490-058
A Ver-o-Mar,4490-059
A Ver-o-Mar,4490-060
A Ver-o-Mar,4490-061
A Ver-o-Mar,4490-062
A Ver-o-Mar,4490-063
A Ver-o-Mar,4490-064
A Ver-o-Mar,4490-065
A Ver-o-Mar,4490-066
A Ver-o-Mar,4490-067
A Ver-o-Mar,4490-068
A Ver-o-Mar,4490-069
A Ver-o-Mar,4490-070
A Ver-o-Mar,4490-071
A Ver-o-Mar,4490-072
A Ver-o-Mar,4490-073
A Ver-o-Mar,4490-074
A Ver-o-Mar,4490-075
A Ver-o-Mar,4490-076
A Ver-o-Mar,4490-077
A Ver-o-Mar,4490-078
A Ver-o-Mar,4490-079
A Ver-o-Mar,4490-080
A Ver-o-Mar,4490-081
A Ver-o-Mar,4490-082
A Ver-o-Mar,4490-083
A Ver-o-Mar,4490-084
A Ver-o-Mar,4490-085
A Ver-o-Mar,4490-086
A Ver-o-Mar,4490-087
A Ver-o-Mar,4490-088
A Ver-o-Mar,4490-089
A Ver-o-Mar,4490-090
A Ver-o-Mar,4490-091
A Ver-o-Mar,4490-092
A Ver-o-Mar,4490-093
A Ver-o-Mar,4490-094
A Ver-o-Mar,4490-095
A Ver-o-Mar,4490-096
A Ver-o-Mar,4490-097
A Ver-o-Mar,4490-098
A Ver-o-Mar,4490-099
A Ver-o-Mar,4490-100
A Ver-o-Mar,4490-101
A Ver-o-Mar,4490-102
A Ver-o-Mar,4490-103
A Ver-o-Mar,4490-104
A Ver-o-Mar,4490-105
A Ver-o-Mar,4490-106
A Ver-o-Mar,4490-107
A Ver-o-Mar,4490-108
A Ver-o-Mar,4490-109
A Ver-o-Mar,4490-110
A Ver-o-Mar,4490-111
A Ver-o-Mar,4490-112
A Ver-o-Mar,4490-113
A Ver-o-Mar,4490-115
A Ver-o-Mar,4490-116
A Ver-o-Mar,4490-117
A Ver-o-Mar,4490-118
A Ver-o-Mar,4490-119
A Ver-o-Mar,4490-120
A Ver-o-Mar,4490-121
A Ver-o-Mar,4490-122
A Ver-o-Mar,4490-123
A Ver-o-Mar,4490-124
A Ver-o-Mar,4490-125
A Ver-o-Mar,4490-126
A Ver-o-Mar,4490-127
A Ver-o-Mar,4490-128
A Ver-o-Mar,4490-129
A Ver-o-Mar,4490-130
A Ver-o-Mar,4490-131
A Ver-o-Mar,4490-132
A Ver-o-Mar,4490-133
A Ver-o-Mar,4490-134
A Ver-o-Mar,4490-135
A Ver-o-Mar,4490-136
A Ver-o-Mar,4490-137
A Ver-o-Mar,4490-138
A Ver-o-Mar,4490-139
A Ver-o-Mar,4490-140
A Ver-o-Mar,4490-141
Abaças,5000-011
Abaças,5000-013
Abaças,5000-014
Abade de Neiva,4750-001
Abade de Neiva,4750-002
Abade de Neiva,4750-003
Abade de Neiva,4750-004
Abade de Neiva,4750-005
Abade de Neiva,4750-006
Abade de Neiva,4750-008
Abade de Neiva,4750-009
Abade de Vermoim,4770-011
Abade de Vermoim,4770-012
Abade de Vermoim,4770-013
Abade de Vermoim,4770-014
Abade de Vermoim,4770-015
Abade de Vermoim,4770-016
Abade de Vermoim,4770-017
Abade de Vermoim,4770-018
Abadim,4860-011
Abadim,4860-012
Abadim,4860-013
Abadim,4860-014
Abadim,4860-015
Abadim,4860-016
Abambres,5370-010
Abedim,4950-010
Abela,7540-011
Abela,7540-020
Abela,7540-021
Abela,7540-022
Abela,7540-023
Abela,7540-024
Abela,7540-025
Abela,7540-030
Abela,7540-031
Abela,7540-032
Abela,7540-033
Abitureiras,2000-300
Abitureiras,2000-301
Abitureiras,2000-302
Abitureiras,2000-303
Abitureiras,2000-304
Abitureiras,2000-305
Abitureiras,2000-306
Abitureiras,2000-307
Abitureiras,2000-308
Abitureiras,2000-309
Abitureiras,2000-310
Abitureiras,2000-311
Abitureiras,2000-312
Abitureiras,2000-313
Abitureiras,2000-314
Abitureiras,2000-315
Abiul,3100-011
Abiul,3100-012
Abiul,3100-013
Abiul,3100-014
Abiul,3100-015
Abiul,3100-016
Abiul,3100-017
Abiul,3100-018
Abiul,3100-019
Abiul,3100-020
Abiul,3100-021
Abiul,3100-022
Abiul,3100-023
Abiul,3100-024
Abiul,3100-025
Abiul,3100-026
Abiul,3100-027
Abiul,3100-028
Abiul,3100-029
Abiul,3100-030
Abiul,3100-031
